Country Name,Country Code,2020,Region
Albania,ALB,5343.037704,Europe & Central Asia
Andorra,AND,37207.222,Europe & Central Asia
Armenia,ARM,4505.867746,Europe & Central Asia
Austria,AUT,48809.22688,Europe & Central Asia
Azerbaijan,AZE,4229.910649,Europe & Central Asia
Belgium,BEL,45517.90382,Europe & Central Asia
Bulgaria,BGR,10153.4766,Europe & Central Asia
Bosnia and Herzegovina,BIH,6095.102479,Europe & Central Asia
Belarus,BLR,6542.86454,Europe & Central Asia
Switzerland,CHE,85656.32267,Europe & Central Asia
Channel Islands,CHI,57339.52687,Europe & Central Asia
Cyprus,CYP,28035.98438,Europe & Central Asia
Czechia,CZE,22992.87938,Europe & Central Asia
Germany,DEU,46772.82535,Europe & Central Asia
Denmark,DNK,60915.4244,Europe & Central Asia
Spain,ESP,26959.67544,Europe & Central Asia
Estonia,EST,23595.24368,Europe & Central Asia
Finland,FIN,49169.71934,Europe & Central Asia
France,FRA,39055.28293,Europe & Central Asia
Faroe Islands,FRO,61979.79544,Europe & Central Asia
United Kingdom,GBR,40318.41692,Europe & Central Asia
Georgia,GEO,4255.742993,Europe & Central Asia
Gibraltar,GIB,,Europe & Central Asia
Greece,GRC,17658.9473,Europe & Central Asia
Greenland,GRL,54693.51141,Europe & Central Asia
Croatia,HRV,14236.53525,Europe & Central Asia
Hungary,HUN,16125.60941,Europe & Central Asia
Isle of Man,IMN,79530.60548,Europe & Central Asia
Ireland,IRL,85420.19086,Europe & Central Asia
Iceland,ISL,58813.79698,Europe & Central Asia
Italy,ITA,31918.69349,Europe & Central Asia
Kazakhstan,KAZ,9121.636402,Europe & Central Asia
Kyrgyz Republic,KGZ,1182.521506,Europe & Central Asia
Liechtenstein,LIE,165284.4971,Europe & Central Asia
Lithuania,LTU,20363.92441,Europe & Central Asia
Luxembourg,LUX,117370.4969,Europe & Central Asia
Latvia,LVA,18207.13964,Europe & Central Asia
Monaco,MCO,182537.3046,Europe & Central Asia
Moldova,MDA,4376.242493,Europe & Central Asia
North Macedonia,MKD,5965.450232,Europe & Central Asia
Montenegro,MNE,7677.369141,Europe & Central Asia
Netherlands,NLD,52162.57012,Europe & Central Asia
Norway,NOR,68340.0181,Europe & Central Asia
Poland,POL,15816.8204,Europe & Central Asia
Portugal,PRT,22242.40642,Europe & Central Asia
Romania,ROU,13047.45768,Europe & Central Asia
Russian Federation,RUS,10194.44141,Europe & Central Asia
San Marino,SMR,45321.48922,Europe & Central Asia
Serbia,SRB,7733.803494,Europe & Central Asia
Slovak Republic,SVK,19551.62116,Europe & Central Asia
Slovenia,SVN,25545.241,Europe & Central Asia
Sweden,SWE,52837.90398,Europe & Central Asia
Tajikistan,TJK,852.3302296,Europe & Central Asia
Turkmenistan,TKM,7297.180042,Europe & Central Asia
Turkiye,TUR,8561.064333,Europe & Central Asia
Ukraine,UKR,3751.737305,Europe & Central Asia
Uzbekistan,UZB,1759.307471,Europe & Central Asia
Kosovo,XKX,4310.932984,Europe & Central Asia
